,ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
16716,T20120020346,B,2012.0,1.0,NK,1.0,Paved,V,SEDAN,HOLDEN,CRUZE,,1,Car,,R,P,4.0,4.0,5.0,1375.0,1.0,,,NK,4.0,4.0,H,FWN,ZZ,2.0,1,2.0,1,2.0,0.0,No control
16767,T20120020396,A,2003.0,2.0,N,1.0,Paved,V,SEDAN,HYNDAI,ELANTR,,1,Car,,R,P,4.0,4.0,5.0,1268.0,1.0,,,N,1.0,1.0,H,BLU,ZZ,2.0,F,2.0,1,2.0,0.0,No control
16768,T20120020396,B,2007.0,1.0,S,1.0,Paved,Q,CYCLE,HONDA,VT750,,10,Motor Cycle,,,Z,,2.0,2.0,,1.0,,,W,2.0,2.0,H,RED,ZZ,2.0,5,2.0,1,2.0,0.0,No control
16771,T20120020399,A,1997.0,1.0,S,1.0,Paved,V,SEDAN,HYNDAI,EXCEL,,1,Car,,R,P,4.0,4.0,5.0,950.0,1.0,,,S,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,2,2.0,1.0,Stop-go lights
16772,T20120020399,B,2003.0,2.0,S,1.0,Paved,V,TRAY,FORD,FALCON,,4,Utility,2805.0,R,P,4.0,6.0,3.0,1800.0,1.0,1005.0,,S,17.0,17.0,H,WHI,ZZ,2.0,R,2.0,1,2.0,1.0,Stop-go lights
16870,T20120020518,A,2009.0,1.0,NK,3.0,Gravel,V,SOLO,SUZUKI,DR650,,10,Motor Cycle,,,P,2.0,1.0,,,1.0,,650.0,NK,1.0,13.0,H,WHI,ZZ,2.0,F,2.0,1,2.0,0.0,No control
16893,T20120020548,A,2001.0,1.0,NW,1.0,Paved,V,SOLO,K T M,300EXC,,10,Motor Cycle,,,P,2.0,1.0,,,1.0,,300.0,NW,18.0,18.0,H,OGE,ZZ,2.0,N,2.0,4,2.0,0.0,No control
17077,T20120020760,A,2006.0,2.0,NE,1.0,Paved,V,WAGON,NISSAN,XTRAIL,,2,Station Wagon,,R,P,4.0,4.0,5.0,1450.0,2.0,,,NE,1.0,15.0,H,GRY,ZZ,2.0,R,2.0,2,2.0,0.0,No control
17078,T20120020760,B,1995.0,1.0,NE,1.0,Paved,V,VAN,FORD,ECON92,,5,Panel Van,,R,P,4.0,4.0,3.0,120.0,1.0,,1800.0,NE,7.0,1.0,H,WHI,ZZ,2.0,F,0.0,2,2.0,0.0,No control
17110,T20120020797,A,2011.0,1.0,NW,1.0,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,,R,P,4.0,4.0,5.0,1415.0,1.0,,,NW,1.0,1.0,H,GLD,ZZ,2.0,4,2.0,4,1.0,1.0,Stop-go lights
17111,T20120020797,B,2009.0,2.0,SW,1.0,Paved,V,DC UTE,VOLKS,TRANSP,,4,Utility,3000.0,R,D,4.0,4.0,5.0,2100.0,1.0,900.0,,SE,1.0,1.0,H,WHI,ZZ,2.0,5,2.0,2,2.0,1.0,Stop-go lights
17437,T20120021164,A,1990.0,1.0,NW,1.0,Paved,V,SEDAN,FORD,LASER,,1,Car,,R,P,4.0,4.0,5.0,900.0,1.0,,,NW,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,3,1.0,11.0,Giveway sign
17438,T20120021164,B,2011.0,2.0,NW,1.0,Paved,V,VAN,VOLKS,CADDY,,5,Panel Van,,R,D,4.0,4.0,2.0,1408.0,1.0,,,NE,2.0,1.0,H,WHI,ZZ,2.0,R,2.0,1,2.0,11.0,Giveway sign
17484,T20120021227,A,1985.0,2.0,E,1.0,Paved,V,SEDAN,FORD,TELSTA,,1,Car,,R,P,4.0,,5.0,1050.0,1.0,,,E,1.0,1.0,H,BLU,ZZ,2.0,9,2.0,3,9.0,9.0,Roundabout
17485,T20120021227,B,2010.0,1.0,SE,1.0,Paved,V,BUS,MERC B,500R,,8,Bus/Coach,18000.0,R,D,4.0,6.0,58.0,11240.0,1.0,6760.0,,E,3.0,3.0,H,WHI,ZZ,2.0,9,2.0,6,2.0,9.0,Roundabout
17530,T20120021270,A,1990.0,1.0,NE,1.0,Paved,V,SEDAN,MITSUB,LANCER,,1,Car,1250.0,R,P,4.0,4.0,5.0,950.0,1.0,300.0,,SE,2.0,2.0,H,RED,ZZ,2.0,F,2.0,5,1.0,0.0,No control
17531,T20120021270,B,1998.0,2.0,SW,1.0,Paved,V,S WAG,FORD,FALCON,,2,Station Wagon,,R,P,4.0,6.0,5.0,1500.0,1.0,,4000.0,SW,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,4,1.0,0.0,No control
17610,T20120021362,A,2003.0,2.0,W,1.0,Paved,V,S WAG,FORD,FALCON,,2,Station Wagon,,R,P,4.0,6.0,5.0,1450.0,1.0,,,S,2.0,2.0,H,SIL,ZZ,2.0,8,2.0,2,2.0,11.0,Giveway sign
17611,T20120021362,B,2005.0,1.0,W,1.0,Paved,V,SEDAN,PEUG,307XSE,,1,Car,,R,D,4.0,4.0,5.0,1494.0,1.0,,,N,3.0,3.0,H,WHI,ZZ,2.0,F,2.0,1,2.0,11.0,Giveway sign
17624,T20120021382,A,1991.0,2.0,E,1.0,Paved,V,SEDAN,FORD,18133,,1,Car,,R,M,4.0,6.0,5.0,1450.0,1.0,,,E,17.0,1.0,H,WHI,ZZ,2.0,R,2.0,5,2.0,5.0,Ped. crossing
17625,T20120021382,B,2001.0,1.0,E,1.0,Paved,V,WAGON,MITSUB,PAJERO,,2,Station Wagon,,R,P,4.0,6.0,7.0,2065.0,1.0,,,E,17.0,1.0,H,MRN,ZZ,2.0,F,2.0,9,2.0,5.0,Ped. crossing
17805,T20120021598,A,2010.0,1.0,SE,1.0,Paved,V,WAGON,TOYOTA,RAV 4,,2,Station Wagon,,R,P,4.0,4.0,5.0,1150.0,1.0,,,SE,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,6,2.0,5.0,Ped. crossing
17806,T20120021598,B,,2.0,SW,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,SW,1.0,1.0,H,ZZ,ZZ,0.0,4,2.0,1,2.0,5.0,Ped. crossing
17821,T20120021613,A,2002.0,2.0,E,1.0,Paved,V,S WAG,FORD,FORTE,,2,Station Wagon,,R,P,4.0,6.0,5.0,1625.0,2.0,,,E,1.0,1.0,H,WHI,ZZ,2.0,F,1.0,4,1.0,1.0,Stop-go lights
17822,T20120021613,B,1994.0,1.0,S,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1350.0,1.0,,,S,1.0,1.0,H,WHI,ZZ,2.0,2,2.0,2,2.0,1.0,Stop-go lights
17875,T20120021713,A,2011.0,1.0,SW,1.0,Paved,V,SEDAN,KIA,RIO,,1,Car,,R,P,4.0,4.0,5.0,1035.0,1.0,,,SW,1.0,1.0,H,SIL,ZZ,2.0,5,1.0,5,1.0,11.0,Giveway sign
17876,T20120021713,B,1997.0,2.0,NW,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1350.0,3.0,,,NW,1.0,1.0,H,SIL,ZZ,2.0,F,1.0,5,1.0,0.0,No control
17890,T20120021726,A,2005.0,1.0,NW,1.0,Paved,V,SEDAN,FORD,FALCON,,1,Car,,R,P,4.0,6.0,5.0,1550.0,1.0,,,NW,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,4,1.0,0.0,No control
17891,T20120021726,B,2005.0,2.0,NW,1.0,Paved,V,SEDAN,NISSAN,PULSAR,,1,Car,,R,P,4.0,4.0,5.0,1135.0,2.0,,,NE,2.0,2.0,H,RED,ZZ,2.0,R,2.0,4,1.0,0.0,No control
18043,T20120021916,A,2011.0,1.0,SE,1.0,Paved,V,SEDAN,SUZUKI,,,1,Car,,R,P,4.0,3.0,5.0,980.0,1.0,,,SE,6.0,1.0,H,RED,ZZ,2.0,F,2.0,3,1.0,0.0,No control
18044,T20120021916,B,2003.0,2.0,SE,1.0,Paved,V,TRAY,ISUZU,NPR,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,7500.0,R,D,4.0,4.0,3.0,3240.0,1.0,4260.0,,SE,6.0,1.0,H,WHI,ZZ,2.0,R,2.0,1,2.0,0.0,No control
18141,T20120022045,A,1996.0,1.0,SW,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1300.0,1.0,,,SW,1.0,1.0,H,WHI,ZZ,2.0,F,9.0,3,9.0,0.0,No control
18142,T20120022045,B,2010.0,2.0,SW,1.0,Paved,V,WAGON,HYNDAI,IX35,,2,Station Wagon,,R,D,4.0,4.0,5.0,1585.0,1.0,,,SW,1.0,1.0,H,GRY,ZZ,2.0,R,9.0,1,2.0,0.0,No control
18143,T20120022046,A,2000.0,1.0,W,1.0,Paved,V,UTIL,FORD,FALCON,,4,Utility,,R,P,4.0,8.0,2.0,1557.0,1.0,,5000.0,S,3.0,3.0,H,BLK,ZZ,2.0,F,0.0,1,2.0,11.0,Giveway sign
18144,T20120022046,B,1999.0,2.0,W,1.0,Paved,V,SED,MITSUB,CE96B,,1,Car,,R,P,4.0,4.0,3.0,920.0,2.0,,1500.0,S,3.0,3.0,H,BLU,ZZ,2.0,R,2.0,2,2.0,11.0,Giveway sign
18250,T20120022162,A,2003.0,1.0,NW,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1575.0,3.0,,,SE,5.0,5.0,H,WHI,ZZ,2.0,3,2.0,5,1.0,0.0,No control
18251,T20120022162,B,1998.0,2.0,NW,1.0,Paved,V,WAGON,TOYOTA,RAV4,,2,Station Wagon,,R,P,4.0,4.0,5.0,1200.0,1.0,,,NW,1.0,1.0,H,SIL,ZZ,2.0,F,1.0,5,1.0,0.0,No control
18321,T20120022237,A,2008.0,1.0,W,1.0,Paved,V,SOLO,HONDA,CBF100,,10,Motor Cycle,,,P,2.0,4.0,,,1.0,,997.0,N,2.0,2.0,H,BLK,ZZ,2.0,1,2.0,1,2.0,0.0,No control
18327,T20120022250,A,2011.0,2.0,SW,1.0,Paved,V,SEDAN,TOYOTA,AURION,,1,Car,,R,P,4.0,6.0,5.0,1550.0,1.0,,,SW,1.0,1.0,H,SIL,ZZ,2.0,7,9.0,2,2.0,9.0,Roundabout
18328,T20120022250,B,2012.0,1.0,NW,1.0,Paved,V,SEDAN,HINO,CALAIS,,1,Car,,R,P,4.0,6.0,5.0,1780.0,1.0,,,NW,1.0,1.0,H,SIL,ZZ,2.0,1,9.0,1,9.0,9.0,Roundabout
18357,T20120022279,A,2002.0,1.0,E,1.0,Paved,V,S WAG,HOLDEN,COMMOD,,2,Station Wagon,,R,P,4.0,6.0,5.0,1400.0,2.0,,,S,2.0,2.0,H,RED,ZZ,2.0,5,0.0,4,1.0,1.0,Stop-go lights
18358,T20120022279,B,1998.0,2.0,W,1.0,Paved,V,TRAY,ISUZU,FRR550,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,10400.0,R,D,4.0,6.0,3.0,5980.0,1.0,4420.0,8200.0,W,1.0,1.0,H,BLK,ZZ,2.0,5,0.0,3,1.0,1.0,Stop-go lights
18359,T20120022279,C,2009.0,8.0,E,1.0,Paved,V,SEDAN,KIA,RIO,,1,Car,,R,P,4.0,4.0,5.0,1035.0,3.0,,,E,1.0,1.0,H,SIL,ZZ,2.0,3,0.0,3,1.0,1.0,Stop-go lights
18360,T20120022279,D,2010.0,8.0,E,1.0,Paved,V,VAN,MERC B,SPRINT,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,3880.0,R,D,4.0,6.0,4.0,2475.0,1.0,1405.0,,E,1.0,1.0,H,WHI,ZZ,2.0,3,0.0,3,1.0,1.0,Stop-go lights
18923,T20120022877,A,2011.0,2.0,N,1.0,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,2110.0,R,M,4.0,4.0,5.0,1610.0,1.0,500.0,,N,1.0,1.0,H,SIL,ZZ,2.0,9,2.0,1,2.0,1.0,Stop-go lights
18924,T20120022877,B,2012.0,1.0,N,1.0,Paved,V,SEDAN,MAZDA,2,,1,Car,,R,P,4.0,4.0,5.0,1055.0,1.0,,,N,1.0,1.0,H,SIL,ZZ,2.0,1,2.0,1,2.0,1.0,Stop-go lights
19010,T20120022990,A,,1.0,E,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,NW,3.0,3.0,H,ZZ,ZZ,0.0,F,0.0,1,2.0,0.0,No control
19011,T20120022990,B,2007.0,2.0,NW,1.0,Paved,V,SEDAN,TOYOTA,AURION,,1,Car,,R,P,4.0,6.0,5.0,1550.0,2.0,,,NE,2.0,2.0,H,SIL,ZZ,2.0,8,2.0,1,2.0,0.0,No control
19062,T20120023049,A,1998.0,1.0,W,2.0,Unpaved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,M,4.0,4.0,5.0,1000.0,1.0,,,W,16.0,16.0,H,WHI,ZZ,2.0,F,2.0,5,2.0,0.0,No control
19152,T20120023161,A,2005.0,1.0,W,3.0,Gravel,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,M,4.0,6.0,5.0,1350.0,2.0,,,NK,4.0,17.0,H,BLU,ZZ,2.0,F,2.0,6,2.0,0.0,No control
19153,T20120023161,B,2011.0,2.0,W,3.0,Gravel,V,SEDAN,FORD,XR6,,1,Car,,R,P,4.0,6.0,5.0,1710.0,2.0,,4000.0,NK,4.0,17.0,H,MRN,ZZ,2.0,R,2.0,1,2.0,0.0,No control
19199,T20120023210,A,2012.0,1.0,S,1.0,Paved,V,DC UTE,NISSAN,NAVARA,,4,Utility,2860.0,R,D,4.0,4.0,5.0,1875.0,2.0,985.0,,S,1.0,18.0,B,BLK,ZZ,2.0,6,0.0,5,1.0,0.0,No control
19475,T20120023579,A,2006.0,1.0,W,3.0,Gravel,V,SED,HOLDEN,VIVA,,1,Car,,R,P,4.0,4.0,5.0,1255.0,1.0,,,N,2.0,1.0,H,SIL,ZZ,2.0,F,2.0,4,1.0,10.0,Stop sign
19476,T20120023579,B,2009.0,8.0,W,3.0,Gravel,V,SEDAN,TOYOTA,AURION,,1,Car,,R,P,4.0,6.0,5.0,1540.0,1.0,,,NK,17.0,17.0,H,BLU,ZZ,2.0,N,2.0,6,2.0,10.0,Stop sign
19568,T20120023689,A,1991.0,1.0,S,1.0,Paved,V,MULTI,NISSAN,NOM,,5,Panel Van,,R,P,4.0,,8.0,1350.0,1.0,,,S,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,4,1.0,0.0,No control
19569,T20120023689,B,2002.0,2.0,S,1.0,Paved,V,WAGON,JEEP,CHEROK,,2,Station Wagon,,R,P,4.0,6.0,5.0,1500.0,2.0,,,E,2.0,15.0,H,BLK,ZZ,2.0,8,2.0,2,2.0,0.0,No control
19634,T20120023758,A,2005.0,8.0,N,1.0,Paved,V,SEDAN,MITSUB,MAGNA,,1,Car,,R,P,4.0,6.0,5.0,1441.0,1.0,,,N,1.0,1.0,I,GLD,ZZ,2.0,N,2.0,6,2.0,0.0,No control
19635,T20120023758,B,2006.0,1.0,S,1.0,Paved,V,CYCLE,KAWASA,VN2000,,10,Motor Cycle,,,P,2.0,2.0,,,1.0,,2053.0,S,1.0,1.0,H,RED,ZZ,2.0,9,2.0,1,1.0,0.0,No control
19872,T20120024073,A,,1.0,SW,1.0,Paved,,SEDAN,UNKN,,,1,Car,,,Z,,,,,1.0,,,NK,9.0,9.0,H,ZZ,ZZ,2.0,9,2.0,9,2.0,0.0,No control
20064,T20120024295,A,1983.0,2.0,NE,1.0,Paved,V,SEDAN,TOYOTA,,,1,Car,,R,P,4.0,6.0,5.0,1200.0,2.0,,,NE,1.0,1.0,H,GRY,ZZ,2.0,R,2.0,1,2.0,0.0,No control
20065,T20120024295,B,2010.0,1.0,NE,1.0,Paved,V,TRAY,TOYOTA,HILUX,,4,Utility,2780.0,R,P,4.0,4.0,3.0,1540.0,1.0,1240.0,,NE,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,4,1.0,0.0,No control
20071,T20120024312,A,2005.0,1.0,NE,1.0,Paved,V,S WAG,FORD,FALCON,,2,Station Wagon,,R,P,4.0,6.0,5.0,1670.0,1.0,,,NE,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,1,2.0,0.0,No control
20072,T20120024312,B,2003.0,2.0,NE,1.0,Paved,V,S WAG,DAEWOO,MATIZ,,2,Station Wagon,,R,P,4.0,4.0,5.0,700.0,3.0,,,NE,1.0,1.0,H,OGE,ZZ,2.0,R,2.0,1,2.0,0.0,No control
20184,T20120024427,A,2005.0,1.0,W,1.0,Paved,V,SOLO,H DAV,FLSTCI,,10,Motor Cycle,,,P,2.0,2.0,,,1.0,,1450.0,W,1.0,1.0,H,RED,ZZ,2.0,5,2.0,5,2.0,0.0,No control
20247,T20120024509,A,1997.0,2.0,NE,1.0,Paved,V,S WAG,MITSUB,LANCER,,2,Station Wagon,,R,P,4.0,4.0,5.0,974.0,1.0,,,NE,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,1,2.0,0.0,No control
20248,T20120024509,B,,1.0,SE,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,SE,1.0,1.0,H,ZZ,ZZ,0.0,1,2.0,5,9.0,0.0,No control
20337,T20120024608,A,,1.0,W,1.0,Paved,V,S WAG,SUZUKI,,,2,Station Wagon,,,Z,,,,,1.0,,,W,1.0,1.0,H,RED,BLK,2.0,F,2.0,5,1.0,11.0,Giveway sign
20338,T20120024608,B,2002.0,2.0,N,1.0,Paved,V,S WAG,HOLDEN,RODEO,,2,Station Wagon,2730.0,R,P,4.0,4.0,3.0,1400.0,1.0,1330.0,2100.0,N,1.0,1.0,H,WHI,ZZ,2.0,2,2.0,5,1.0,11.0,Giveway sign
20363,T20120024640,A,1995.0,1.0,NE,1.0,Paved,V,SEDAN,VOLVO,850 SE,,1,Car,,R,P,4.0,5.0,5.0,1200.0,1.0,,,NE,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,3,1.0,1.0,Stop-go lights
20364,T20120024640,B,2012.0,2.0,NE,1.0,Paved,V,COUPE,HYNDAI,I30,,1,Car,,R,D,4.0,4.0,5.0,1367.0,1.0,,,NE,15.0,15.0,H,RED,ZZ,2.0,R,2.0,3,1.0,1.0,Stop-go lights
20406,T20120024684,A,2010.0,1.0,W,1.0,Paved,V,SEDAN,FORD,FG G6E,,1,Car,,R,P,4.0,6.0,5.0,1730.0,1.0,,,W,1.0,18.0,H,SIL,ZZ,2.0,F,2.0,5,1.0,0.0,No control
20429,T20120024714,A,2010.0,1.0,SW,1.0,Paved,V,SEDAN,FORD,,,1,Car,,R,G,4.0,6.0,5.0,1754.0,1.0,,,SW,9.0,9.0,H,YLW,ZZ,2.0,4,2.0,6,2.0,0.0,No control
20533,T20120024839,A,1992.0,1.0,SW,1.0,Paved,V,SEDAN,HOLDEN,BERL,,1,Car,,R,P,4.0,6.0,5.0,1550.0,2.0,,,SW,1.0,18.0,H,WHI,ZZ,2.0,2,1.0,5,1.0,0.0,No control
20569,T20120024894,A,2005.0,1.0,SE,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1560.0,1.0,,3600.0,SW,2.0,2.0,H,WHI,ZZ,2.0,F,2.0,4,1.0,1.0,Stop-go lights
20570,T20120024894,B,1995.0,2.0,NW,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,M,4.0,6.0,5.0,1300.0,3.0,,,NW,1.0,1.0,H,RED,ZZ,2.0,2,2.0,5,1.0,1.0,Stop-go lights
20647,T20120025016,A,2011.0,2.0,SW,1.0,Paved,V,SEDAN,FORD,,,1,Car,,R,P,4.0,4.0,5.0,1376.0,1.0,,,SW,1.0,1.0,H,SIL,ZZ,2.0,2,2.0,2,2.0,0.0,No control
20648,T20120025016,B,2006.0,1.0,SW,1.0,Paved,V,SEDAN,MAZDA,MAZDA6,,1,Car,,R,P,4.0,4.0,5.0,1365.0,1.0,,,SW,6.0,6.0,H,GRY,ZZ,2.0,5,2.0,2,2.0,0.0,No control
20764,T20120025115,A,,1.0,NE,1.0,Paved,N,SED,HOLDEN,STATES,,1,Car,,,Z,,8.0,5.0,1652.0,2.0,,,NE,1.0,18.0,H,GLD,ZZ,2.0,9,1.0,3,1.0,0.0,No control
20910,T20120025278,A,1997.0,1.0,NE,1.0,Paved,V,VAN,MAZDA,MPV,,5,Panel Van,,R,P,4.0,6.0,8.0,1700.0,5.0,,,NE,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,5,1.0,0.0,No control
20911,T20120025278,B,2002.0,2.0,NE,1.0,Paved,V,DC UTE,TOYOTA,HILUX,,4,Utility,2730.0,R,D,4.0,4.0,5.0,1350.0,4.0,1380.0,3000.0,NE,17.0,13.0,H,WHI,ZZ,2.0,R,2.0,4,1.0,0.0,No control
20912,T20120025278,C,2009.0,8.0,NE,1.0,Paved,V,UTIL,TOYOTA,HILUX,,4,Utility,2780.0,R,P,4.0,4.0,3.0,1540.0,1.0,1240.0,,NE,17.0,13.0,H,BLK,ZZ,2.0,R,2.0,3,1.0,0.0,No control
20913,T20120025278,D,2006.0,8.0,NE,1.0,Paved,V,SEDAN,MITSUB,380,,1,Car,,R,P,4.0,6.0,5.0,1622.0,2.0,,,NE,17.0,13.0,H,BLU,ZZ,2.0,R,2.0,1,2.0,0.0,No control
21021,T20120025403,A,1991.0,2.0,NE,1.0,Paved,V,MULTIX,FORD,MAVERK,,2,Station Wagon,2800.0,R,P,4.0,6.0,5.0,2050.0,2.0,750.0,,SE,2.0,17.0,H,SIL,ZZ,2.0,4,2.0,5,1.0,0.0,No control
21022,T20120025403,B,1995.0,1.0,NE,1.0,Paved,V,SEDAN,FORD,NF,,1,Car,,R,P,4.0,6.0,5.0,1600.0,1.0,,,SE,2.0,1.0,H,WHI,ZZ,2.0,5,2.0,2,2.0,0.0,No control
21051,T20120025437,A,1994.0,1.0,NE,1.0,Paved,V,S WAG,TOYOTA,RAV4,,2,Station Wagon,,R,P,4.0,4.0,4.0,1200.0,1.0,,,NE,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,3,1.0,0.0,No control
21052,T20120025437,B,2012.0,2.0,NE,1.0,Paved,V,VAN,VOLKS,CADDY,,5,Panel Van,,R,D,4.0,4.0,7.0,1715.0,1.0,,,NE,1.0,1.0,H,BLU,ZZ,2.0,R,2.0,3,1.0,0.0,No control
21076,T20120025456,A,2008.0,1.0,NE,1.0,Paved,V,WAGON,FORD,TERRIT,,2,Station Wagon,,R,P,4.0,6.0,7.0,2025.0,1.0,,,NW,3.0,3.0,H,GRY,ZZ,2.0,5,2.0,1,2.0,4.0,Ped. lights
21077,T20120025456,B,0.0,2.0,NE,1.0,Paved,,,,,,13,Bicycle,,,,,,,0.0,1.0,,,NE,1.0,1.0,H,ZZ,ZZ,0.0,F,2.0,1,2.0,4.0,Ped. lights
21105,T20120025487,A,2007.0,2.0,SE,1.0,Paved,V,SEDAN,MITSUB,380,,1,Car,,R,P,4.0,6.0,5.0,1700.0,3.0,,,SE,1.0,1.0,H,SIL,ZZ,2.0,8,2.0,2,2.0,99.0,Unknown
21106,T20120025487,B,1999.0,1.0,SE,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1350.0,1.0,,,SE,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,9,9.0,99.0,Unknown
21129,T20120025511,A,1998.0,1.0,SW,1.0,Paved,V,SEDAN,FORD,EL FAL,,1,Car,,R,P,4.0,6.0,5.0,1531.0,1.0,,,NW,2.0,2.0,H,SIL,ZZ,2.0,1,2.0,3,1.0,11.0,Giveway sign
21130,T20120025511,B,2010.0,2.0,SE,1.0,Paved,V,SOLO,YAMAHA,XVS650,,10,Motor Cycle,,,P,2.0,2.0,,,1.0,,650.0,SE,1.0,13.0,H,RED,ZZ,2.0,1,2.0,3,1.0,0.0,No control
21232,T20120025611,A,2009.0,1.0,S,1.0,Paved,V,T SDS,MAZDA,BT50,,4,Utility,,R,D,4.0,4.0,3.0,1463.0,1.0,,,S,1.0,1.0,H,BLK,ZZ,2.0,F,2.0,3,2.0,0.0,No control
21233,T20120025611,B,2010.0,8.0,S,1.0,Paved,V,SEDAN,FORD,,,1,Car,,R,P,4.0,4.0,5.0,1062.0,2.0,,,S,17.0,17.0,H,BLU,ZZ,2.0,R,2.0,1,2.0,0.0,No control
21234,T20120025611,C,2002.0,8.0,S,1.0,Paved,V,UTIL,HOLDEN,HOLDEN,,4,Utility,,R,P,4.0,8.0,2.0,1500.0,1.0,,5700.0,S,17.0,17.0,H,BLU,ZZ,2.0,R,2.0,2,2.0,0.0,No control
21235,T20120025611,D,2001.0,2.0,S,1.0,Paved,V,VAN,TOYOTA,HIACE,,5,Panel Van,2800.0,R,P,4.0,4.0,3.0,1180.0,2.0,1620.0,,S,17.0,17.0,H,WHI,ZZ,2.0,R,2.0,2,2.0,0.0,No control
21296,T20120025677,A,,2.0,E,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,E,1.0,1.0,H,ZZ,ZZ,0.0,N,2.0,6,2.0,9.0,Roundabout
21297,T20120025677,B,,1.0,E,1.0,Paved,,SEDAN,FORD,,,1,Car,,,Z,,,,,1.0,,,E,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,6,2.0,9.0,Roundabout
21407,T20120025794,A,1994.0,2.0,N,1.0,Paved,V,CYCLE,H DAV,FXR,,10,Motor Cycle,,,P,2.0,2.0,,0.0,1.0,,1340.0,N,1.0,1.0,H,BLK,ZZ,2.0,9,2.0,5,1.0,0.0,No control
21408,T20120025794,B,2003.0,1.0,S,1.0,Paved,V,SED,TOYOTA,ECHO,,1,Car,,R,P,4.0,4.0,5.0,1200.0,1.0,,,W,2.0,2.0,H,BLU,ZZ,2.0,5,2.0,4,1.0,0.0,No control
21420,T20120025806,A,2012.0,1.0,NE,1.0,Paved,V,WAGON,NISSAN,XTRAIL,,2,Station Wagon,,R,D,4.0,4.0,5.0,1613.0,1.0,,,NE,1.0,18.0,H,BLK,ZZ,2.0,5,0.0,3,1.0,0.0,No control
21505,T20120025902,A,2001.0,2.0,N,1.0,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4.0,4.0,5.0,1109.0,1.0,,,N,2.0,13.0,H,SIL,ZZ,2.0,8,0.0,1,2.0,0.0,No control
21506,T20120025902,B,1996.0,1.0,N,1.0,Paved,V,SEDAN,FORD,FAIRMO,,1,Car,,R,P,4.0,6.0,5.0,1550.0,1.0,,,N,1.0,13.0,H,RED,ZZ,2.0,F,0.0,9,2.0,0.0,No control
