ROAD_NAME,ROAD_NAME_INT,Accident_Count,Fatality_Count
BENDIGO-PYRAMID,JOBES,1,0.0
BENDIGO-PYRAMID,KETTERERS,1,0.0
BENDIGO-PYRAMID,LESTER,1,0.0
BENDIGO-PYRAMID,MAIN,1,0.0
BENDIGO-PYRAMID,MCKENNA,3,0.0
BENDIGO-PYRAMID,OLD SEBASTIAN,2,0.0
BENDIGO-PYRAMID,SAILORS GULLY ALT,1,0.0
BENDIGO-PYRAMID,SANDHURST,1,1.0
BENDIGO-PYRAMID,SEBASTIAN,1,1.0
BENDIGO-REDESDALE,COLVINS,1,0.0
BENDIGO-REDESDALE,LEIGH,1,0.0
BENDIGO-REDESDALE,LINK,1,0.0
BENDIGO-REDESDALE,STRATHFIELDSAYE,4,0.0
BENDIGO-TENNYSON,CAMP,2,0.0
BENDIGO-TENNYSON,HAYHURSTS,1,0.0
BENDIGO-TENNYSON,OLD MURRAY,1,0.0
BENDIGO-TENNYSON,TANDARRA,1,0.0
BENNETT,HAVILAH,3,0.0
BENNETT,WATTLE,1,0.0
BIGGINS,MEADOWS,1,0.0
BLACK WATTLE,GREENVIEW,1,0.0
BOBS,GRACE,1,0.0
BOBS,POWELL,9,0.0
BONAZZA,MAIDEN GULLY,1,0.0
BONNEYS,SPRING FLAT,1,0.0
BOOTH,CHUM,7,0.0
BOOTH,OLD HIGH,2,0.0
BOOTH,OPHIR,1,0.0
BOOTH,YALOKE,1,0.0
BORLEY,ROSS,1,0.0
BOROUGH,MUNRO,1,1.0
BOUNDARY,CLAYPIT,1,0.0
BOWLES,HOWARD,1,0.0
BOWLES,MCIVOR,1,0.0
BOYD,MYER,1,0.0
BRACEWELL,CLARKE,2,0.0
BRACEWELL,EVELY,1,0.0
BRACEWELL,GOLF LINKS,3,0.0
BRADFORD,BRADFORD ALT,1,0.0
BRAMBLE,MUNDY,1,0.0
BRAY,BRAY,1,0.0
BRAZIER,CAMPBELL,1,0.0
BRAZIER,PANTON,2,0.0
BREEN,ADAM,1,0.0
BREEN,THISTLE,4,0.0
BREN,OWEN,1,0.0
BRENTWOOD,GUYS HILL,1,0.0
BRICKWORKS,MURPHY,2,0.0
BRIDGE,BRIDGE,2,0.0
BRIDGE,LUCAN,2,0.0
BRIDGE,NOLAN,1,0.0
BRIDGE,WATER,6,0.0
BRIDGE STREET -CHAPEL,BRIDGE,1,0.0
BRIDGEWATER-RAYWOOD,THREE CHAIN,1,0.0
BRIGHT,CHAPPLE,2,0.0
BRIGHT,GASKELL,1,0.0
BRIGHT,MARGARET,1,0.0
BRIGHT,NELSON,1,0.0
BRIGHT,OSWALD,1,0.0
BRIGHT,WILLAN,1,0.0
BRONWYN,KRISTY,1,0.0
BROUGHAM,WILLIAMSON,1,0.0
BROWN,GREEN,1,0.0
BROWN REEF,LOCKWOOD,1,0.0
BROWNING,GIUDICE,1,0.0
BROWNING,MACKENZIE W,5,0.0
BRYDEN,SPRINGS,1,0.0
BUCKLAND,GOYNES,3,0.0
BUCKLEY,MORAN,1,0.0
BURGOYNE,HUDDLE,1,0.0
BURNS,AUSFELDII,1,0.0
BURROWES,ELWOOD,1,0.0
BUSHS,MOLLISON,1,0.0
BUTCHER,RESERVOIR,2,0.0
BUTLER,HOSKEN,1,0.0
CAELLIS,BENDIGO-TENNYSON,1,0.0
CAHILLS,DIAMOND HILL,2,0.0
CALDER,ALLIES,1,0.0
CALDER,BECKHAMS,10,0.0
CALDER,BEILHARZ,1,0.0
CALDER,BELVOIR PARK,6,0.0
CALDER,BICKFORDS,1,0.0
CALDER,BIRCHALLS,1,0.0
CALDER,BRAEDENE,1,0.0
CALDER,BUCKEYE,2,0.0
CALDER,CALDER,1,0.0
CALDER,CALDER ALTERNATIVE,16,1.0
CALDER,CATHCART,2,0.0
